row_id,food_category,food_department,food_family,store_sales(in millions),store_cost(in millions),unit_sales(in millions),promotion_name,sales_country,marital_status,gender,total_children,education,member_card,occupation,houseowner,avg_cars_at home(approx),avg. yearly_income,num_children_at_home,avg_cars_at home(approx).1,brand_name,SRP,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,store_type,store_city,store_state,store_sqft,grocery_sqft,frozen_sqft,meat_sqft,coffee_bar,video_store,salad_bar,prepared_food,florist,media_type,cost
11,Vegetables,Canned Foods,Food,11.73,5.5131,3,Shelf Emptiers,Mexico,M,M,1,Partial High School,Bronze,Professional,Y,1,$110K - $130K,1,1,Blue Label,3.91,21.9,20.8,1,0,33,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Daily Paper, Radio",147.82
12,Bread,Baked Goods,Food,6.2,2.48,4,Weekend Markdown,USA,M,M,3,High School Degree,Normal,Manual,Y,3,$30K - $50K,2,3,Fantastic,1.55,10.6,8.6,0,1,13,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Sunday Paper,133.6
13,Fruit,Produce,Food,11.37,5.5713,3,Three for One,USA,S,F,1,Bachelors Degree,Bronze,Management,Y,3,$90K - $110K,0,3,Tell Tale,3.79,13.9,11.8,1,1,22,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,Sunday Paper,118.25
14,Snack Foods,Snack Foods,Food,5.13,1.5903,3,Cash Register Lottery,USA,M,M,5,Bachelors Degree,Golden,Professional,Y,3,$130K - $150K,4,3,Horatio,1.71,9.63,7.63,1,1,11,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,"Daily Paper, Radio",59.86
15,Magazines,Periodicals,Non-Consumable,7.41,3.1122,3,Price Winners,USA,M,M,5,Bachelors Degree,Golden,Professional,N,4,$90K - $110K,3,4,Robust,2.47,11.2,10.1,1,0,31,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,In-Store Coupon,94.63
16,Fruit,Produce,Food,15.28,5.5008,4,Money Savers,Canada,M,M,0,Partial College,Silver,Professional,N,4,$30K - $50K,0,4,Tell Tale,3.82,17.1,15.1,1,0,10,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Sunday Paper,107.2
17,Hardware,Household,Non-Consumable,5.16,2.58,3,Cash Register Lottery,USA,S,F,4,High School Degree,Bronze,Skilled Manual,N,2,$30K - $50K,0,2,Sunset,1.72,17.3,15.2,0,0,14,Deluxe Supermarket,Salem,OR,27694,18670,5415,3610,1,1,1,1,1,In-Store Coupon,95.78
18,Fruit,Produce,Food,2.96,1.036,4,Two Day Sale,Mexico,M,F,4,Bachelors Degree,Golden,Management,N,3,$70K - $90K,4,3,Hermanos,0.74,8.69,7.68,0,0,11,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Radio,94.79
19,Vegetables,Frozen Foods,Food,2.16,0.7128,3,Pick Your Savings,USA,S,F,0,Bachelors Degree,Bronze,Professional,N,2,$50K - $70K,0,2,Golden,0.72,20.6,18.6,0,1,13,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Sunday Paper,67.25
20,Magazines,Periodicals,Non-Consumable,10.75,4.6225,5,Saving Days,Mexico,S,M,3,Bachelors Degree,Silver,Professional,N,3,$50K - $70K,0,3,Dollar,2.15,16.4,14.3,1,0,14,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Daily Paper, Radio, TV",90.65
21,Vegetables,Produce,Food,3.72,1.5996,3,Shelf Emptiers,Mexico,S,M,0,Partial High School,Normal,Manual,Y,1,$10K - $30K,0,1,High Top,1.24,13.5,11.5,1,1,7,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,"Daily Paper, Radio",147.82
22,Snack Foods,Snack Foods,Food,2.46,0.738,3,Price Destroyers,Mexico,S,M,2,High School Degree,Golden,Skilled Manual,N,2,$30K - $50K,0,2,Horatio,0.82,16.4,15.3,1,0,14,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,"Sunday Paper, Radio",139.25
23,Canned Soup,Canned Foods,Food,10.6,4.77,4,Price Winners,Mexico,S,F,5,Partial High School,Bronze,Manual,Y,2,$30K - $50K,0,2,Blue Label,2.65,11.2,8.19,0,1,14,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Cash Register Handout,103.9
24,Bathroom Products,Health and Hygiene,Non-Consumable,10.71,4.1769,3,Double Down Sale,Canada,S,F,2,Bachelors Degree,Bronze,Management,Y,1,$50K - $70K,0,1,Hilltop,3.57,16.3,13.2,0,0,19,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Cash Register Handout,142.71
25,Vegetables,Produce,Food,2.19,0.876,3,Bag Stuffers,USA,S,M,4,High School Degree,Bronze,Professional,N,2,$130K - $150K,0,2,Tell Tale,0.73,18.7,16.7,0,1,25,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Daily Paper,70.32
26,Meat,Deli,Food,4.66,2.2834,2,Super Savers,USA,M,M,1,Partial High School,Normal,Manual,Y,0,$10K - $30K,1,0,Red Spade,2.33,19.1,16.1,0,0,22,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Sunday Paper, Radio",64.99
27,Vegetables,Frozen Foods,Food,12.64,5.4352,4,Two for One,USA,M,F,4,High School Degree,Bronze,Skilled Manual,N,1,$30K - $50K,1,1,Big Time,3.16,13.2,11.1,1,0,15,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Daily Paper, Radio, TV",57.52
28,Electrical,Household,Non-Consumable,17.45,5.933,5,Price Savers,USA,M,M,5,Partial College,Bronze,Management,Y,3,$30K - $50K,3,3,Sunset,3.49,10.9,8.89,1,0,14,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Sunday Paper, Radio",111.7
29,Fruit,Produce,Food,11.04,4.968,3,Price Savers,Mexico,S,M,2,Graduate Degree,Bronze,Professional,Y,3,$70K - $90K,0,3,High Top,3.68,11.8,9.8,1,0,11,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,"Sunday Paper, Radio",54.36
30,Bread,Baked Goods,Food,6.54,2.3544,2,Shelf Clearing Days,USA,M,M,4,Partial High School,Bronze,Professional,Y,1,$90K - $110K,1,1,Modell,3.27,13.9,12.8,1,0,1,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,Sunday Paper,106.1
31,Hygiene,Health and Hygiene,Non-Consumable,8.28,3.5604,3,Save-It Sale,USA,S,F,4,Partial College,Bronze,Skilled Manual,N,4,$50K - $70K,0,4,Hilltop,2.76,17.2,15.2,0,0,30,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Daily Paper,81.79
32,Vegetables,Frozen Foods,Food,4.98,1.9422,3,Price Destroyers,USA,S,F,2,High School Degree,Normal,Skilled Manual,N,2,$30K - $50K,0,2,PigTail,1.66,9.84,7.84,1,1,32,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,"Daily Paper, Radio, TV",58.27
33,Snack Foods,Snack Foods,Food,1.8,0.828,3,Price Cutters,USA,S,F,2,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,2,Fort West,0.6,19.9,17.8,1,0,24,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Product Attachment,129.2
34,Beer and Wine,Alcoholic Beverages,Drink,11.37,5.2302,3,Super Duper Savers,USA,M,M,3,High School Degree,Bronze,Manual,N,4,$30K - $50K,1,4,Portsmouth,3.79,16.3,15.2,1,0,5,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,Cash Register Handout,129.5
35,Breakfast Foods,Breakfast Foods,Food,9.4,4.042,4,Sale Winners,Mexico,M,M,1,Partial College,Silver,Professional,Y,4,$30K - $50K,1,4,Johnson,2.35,21.2,19.2,0,1,6,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,In-Store Coupon,99.38
36,Paper Products,Household,Non-Consumable,5,2.3,4,Two Day Sale,Mexico,S,M,4,Partial College,Bronze,Manual,N,2,$30K - $50K,0,2,Red Wing,1.25,8.28,5.27,1,0,18,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,"Daily Paper, Radio, TV",97.34
37,Meat,Deli,Food,9.48,4.5504,4,Super Duper Savers,Canada,S,M,1,Partial High School,Golden,Skilled Manual,Y,2,$30K - $50K,0,2,Cutting Edge,2.37,12.9,11.8,0,1,13,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Street Handout,51
38,Cleaning Supplies,Household,Non-Consumable,14.75,5.4575,5,Sales Galore,USA,M,M,4,High School Degree,Bronze,Manual,N,3,$30K - $50K,3,3,Red Wing,2.95,15.2,13.1,0,0,35,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Bulk Mail,96.55
39,Eggs,Eggs,Food,6.78,2.5086,3,Big Promo,USA,M,F,4,High School Degree,Golden,Skilled Manual,N,2,$30K - $50K,3,2,Giant,2.26,12.2,10.1,0,1,35,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Radio,98.52
40,Vegetables,Produce,Food,11.2,3.808,4,Go For It,Mexico,S,F,3,Bachelors Degree,Bronze,Professional,N,2,$90K - $110K,0,2,Tri-State,2.8,12.7,10.6,0,0,19,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,Radio,137.17
41,Canned Soup,Canned Foods,Food,7.65,3.2895,3,Saving Days,USA,S,M,2,Partial College,Bronze,Professional,N,1,$90K - $110K,0,1,Bravo,2.55,17.2,14.2,0,1,15,Supermarket,Portland,OR,20319,16232,2452,1635,0,0,0,0,0,"Daily Paper, Radio",118.36
42,Magazines,Periodicals,Non-Consumable,8.6,2.838,4,Wallet Savers,USA,S,F,4,Partial High School,Normal,Manual,N,1,$10K - $30K,0,1,Excel,2.15,8.39,6.39,0,0,16,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Sunday Paper, Radio, TV",79.95
43,Pain Relievers,Health and Hygiene,Non-Consumable,10.8,5.184,3,Price Winners,Mexico,S,F,2,High School Degree,Normal,Manual,N,3,$30K - $50K,0,3,Hilltop,3.6,8.77,7.77,1,0,5,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Sunday Paper,112.19
44,Snack Foods,Snack Foods,Food,13.44,4.8384,4,Save-It Sale,Canada,M,M,1,Bachelors Degree,Bronze,Management,N,2,$50K - $70K,1,2,Horatio,3.36,20.4,18.3,1,0,12,Mid-Size Grocery,Victoria,BC,34452,27463,4193,2795,1,0,0,0,1,Radio,75.44
45,Vegetables,Produce,Food,8.91,4.0095,3,Dollar Days,USA,S,F,3,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,4,Ebony,2.97,17.4,15.3,1,0,26,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Sunday Paper,143.04
46,Side Dishes,Deli,Food,8.55,4.104,3,Price Winners,Mexico,S,M,1,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,0,1,Cutting Edge,2.85,9.66,6.65,0,0,34,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Radio,91.58
47,Pure Juice Beverages,Beverages,Drink,2.34,0.9126,3,Sales Days,Mexico,S,F,3,Partial High School,Normal,Skilled Manual,Y,2,$10K - $30K,0,2,Token,0.78,19.7,17.7,1,0,7,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Product Attachment,142.09
48,Jams and Jellies,Baking Goods,Food,10.6,3.604,4,Unbeatable Price Savers,Mexico,M,M,1,High School Degree,Bronze,Skilled Manual,Y,2,$50K - $70K,1,2,CDR,2.65,6.94,3.94,1,1,7,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,Daily Paper,106.73
49,Candy,Snacks,Food,6.48,2.2032,3,Price Savers,USA,M,M,0,High School Degree,Bronze,Manual,Y,2,$30K - $50K,0,2,Atomic,2.16,17.5,15.5,0,1,32,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Cash Register Handout,128.2
50,Meat,Frozen Foods,Food,5.85,2.574,3,Big Promo,USA,M,M,2,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,2,1,Imagine,1.95,16.6,13.6,1,1,2,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Sunday Paper,51.12
51,Plastic Products,Household,Non-Consumable,7.77,3.108,3,Green Light Days,Mexico,S,F,1,Bachelors Degree,Bronze,Professional,Y,2,$50K - $70K,0,2,Red Wing,2.59,20.1,18.1,0,0,9,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,Sunday Paper,92.57
52,Meat,Deli,Food,9.96,4.482,4,Two for One,USA,M,F,3,Bachelors Degree,Bronze,Management,N,4,$50K - $70K,2,4,Lake,2.49,16.9,15.8,1,0,8,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,"Daily Paper, Radio, TV",57.52
53,Jams and Jellies,Baking Goods,Food,1.06,0.4664,2,Coupon Spectacular,Mexico,M,F,3,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,2,1,Super,0.53,10.8,8.8,0,1,22,Small Grocery,Guadalajara,Jalisco,24597,15012,5751,3834,1,0,0,0,0,"Sunday Paper, Radio, TV",84.11
54,Fruit,Produce,Food,11.8,3.776,4,Price Winners,Mexico,M,F,5,High School Degree,Bronze,Skilled Manual,Y,1,$30K - $50K,0,1,Tri-State,2.95,15.2,13.1,0,1,27,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Cash Register Handout,103.9
55,Snack Foods,Snack Foods,Food,4.42,1.6796,2,Dollar Cutters,USA,M,M,0,Graduate Degree,Bronze,Professional,N,3,$70K - $90K,0,3,Best Choice,2.21,16.5,14.5,1,1,5,Small Grocery,Bellingham,WA,28206,22271,3561,2374,1,0,0,0,0,Daily Paper,110.52
56,Vegetables,Produce,Food,8.64,3.456,3,Shelf Clearing Days,Mexico,S,M,1,Bachelors Degree,Golden,Management,N,1,$70K - $90K,0,1,Ebony,2.88,16.9,13.8,0,1,14,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,Sunday Paper,98.81
57,Vegetables,Frozen Foods,Food,11.56,4.9708,4,Sales Days,USA,S,M,1,Bachelors Degree,Bronze,Professional,Y,4,$130K - $150K,0,4,Imagine,2.89,13.8,10.8,1,0,3,Supermarket,Spokane,WA,30268,22063,4923,3282,0,0,0,0,0,Bulk Mail,116.74
58,Frozen Desserts,Frozen Foods,Food,10.6,4.982,4,Sales Galore,USA,M,M,1,High School Degree,Bronze,Skilled Manual,Y,4,$30K - $50K,0,4,Carrington,2.65,17.7,14.7,1,1,18,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,Product Attachment,149.08
59,Dairy,Dairy,Drink,2.28,0.8664,2,Dollar Days,USA,M,F,1,High School Degree,Bronze,Manual,Y,4,$30K - $50K,0,4,Carlson,1.14,14.4,12.3,0,0,13,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Daily Paper, Radio",138.81
60,Dairy,Dairy,Drink,6.9,2.277,3,High Roller Savings,USA,M,M,3,Bachelors Degree,Bronze,Professional,Y,1,$50K - $70K,2,1,Carlson,2.3,19.4,17.3,0,0,31,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,Daily Paper,101.84
61,Paper Products,Household,Non-Consumable,1.92,0.8064,3,Price Winners,Mexico,S,F,3,High School Degree,Bronze,Manual,N,2,$30K - $50K,0,2,Red Wing,0.64,16.4,15.3,0,0,31,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,Sunday Paper,112.19
62,Hot Beverages,Beverages,Drink,2.24,0.896,4,Two for One,Mexico,M,F,3,Partial College,Bronze,Skilled Manual,N,2,$30K - $50K,1,2,Plato,0.56,16.7,13.7,0,0,33,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,Cash Register Handout,123.63
63,Fruit,Produce,Food,11.82,3.7824,3,Best Savings,USA,S,M,3,High School Degree,Bronze,Manual,N,3,$30K - $50K,0,3,Hermanos,3.94,6.79,4.78,0,1,23,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Street Handout,114.01
64,Bathroom Products,Health and Hygiene,Non-Consumable,6.84,3.2832,3,Price Savers,USA,M,F,5,Partial College,Golden,Clerical,Y,4,$30K - $50K,4,4,Faux Products,2.28,20.1,19.1,0,0,7,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Sunday Paper, Radio",111.7
65,Seafood,Seafood,Food,11.16,4.3524,4,Weekend Markdown,Mexico,M,F,4,Bachelors Degree,Bronze,Professional,Y,2,$30K - $50K,0,2,Amigo,2.79,7.92,6.92,0,1,9,Gourmet Supermarket,Camacho,Zacatecas,23759,16844,4149,2766,1,0,1,1,1,TV,89.9
66,Fruit,Canned Products,Food,3.51,1.5093,3,Sale Winners,Mexico,M,F,2,Partial High School,Normal,Skilled Manual,N,1,$10K - $30K,1,1,Big City,1.17,17.8,16.7,1,0,33,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,In-Store Coupon,99.38
67,Fruit,Produce,Food,9.33,3.0789,3,Price Savers,USA,M,F,3,Partial College,Golden,Professional,Y,3,$50K - $70K,3,3,Hermanos,3.11,17.6,16.6,1,1,18,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Sunday Paper, Radio",111.7
68,Jams and Jellies,Baking Goods,Food,7.77,3.7296,3,Weekend Markdown,USA,S,M,2,Partial College,Bronze,Clerical,N,3,$30K - $50K,0,3,BBB Best,2.59,13.2,10.1,0,1,30,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Sunday Paper,133.6
69,Magazines,Periodicals,Non-Consumable,6.76,2.7716,4,Mystery Sale,Mexico,S,M,4,Partial College,Bronze,Skilled Manual,N,4,$30K - $50K,0,4,Dollar,1.69,13.2,12.1,0,0,13,Supermarket,Acapulco,Guerrero,23593,17475,3671,2447,0,0,0,0,0,"Sunday Paper, Radio",137.47
70,Snack Foods,Snack Foods,Food,6.63,2.2542,3,Free For All,USA,S,M,4,Bachelors Degree,Bronze,Professional,Y,3,$50K - $70K,0,3,Horatio,2.21,18.5,17.5,0,0,20,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,In-Store Coupon,109.06
71,Snack Foods,Snack Foods,Food,11.46,4.6986,3,Two for One,USA,S,F,2,Bachelors Degree,Bronze,Management,Y,2,$50K - $70K,0,2,Horatio,3.82,18.5,16.5,1,0,29,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Daily Paper,68.97
72,Kitchen Products,Household,Non-Consumable,2.08,0.832,4,Shelf Clearing Days,Mexico,M,M,4,Partial High School,Normal,Manual,Y,1,$10K - $30K,1,1,Cormorant,0.52,8.17,7.17,1,0,1,Supermarket,Orizaba,Veracruz,34791,26354,5062,3375,0,0,1,1,0,Bulk Mail,69.54
73,Candy,Snacks,Food,4.98,2.4402,3,Price Winners,Mexico,M,F,1,High School Degree,Normal,Manual,Y,3,$30K - $50K,0,3,Musial,1.66,8.49,6.48,1,0,19,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Product Attachment,86.79
74,Dairy,Dairy,Drink,1.22,0.4636,2,Big Promo,USA,M,F,1,Partial High School,Bronze,Skilled Manual,Y,3,$50K - $70K,1,3,Gorilla,0.61,10.4,7.39,1,0,14,Gourmet Supermarket,Beverly Hills,CA,23688,15337,5011,3340,1,1,1,1,1,"Sunday Paper, Radio, TV",117.04
75,Snack Foods,Snack Foods,Food,6.39,2.0448,3,Dimes Off,Mexico,S,F,4,High School Degree,Bronze,Management,Y,3,$70K - $90K,0,3,Fort West,2.13,19.3,17.2,0,0,35,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Radio,115.25
76,Snack Foods,Snack Foods,Food,11.28,5.4144,3,Dollar Cutters,Mexico,M,F,5,High School Degree,Golden,Professional,Y,3,$70K - $90K,5,3,Fast,3.76,9.41,6.4,1,0,24,Mid-Size Grocery,Hidalgo,Zacatecas,38382,30351,4819,3213,0,0,0,0,0,"Daily Paper, Radio",125.1
77,Snack Foods,Snack Foods,Food,5.37,2.2554,3,Dimes Off,Mexico,S,M,1,Bachelors Degree,Bronze,Professional,N,3,$110K - $130K,0,3,Horatio,1.79,18.6,16.6,1,1,27,Deluxe Supermarket,Hidalgo,Zacatecas,30584,21938,5188,3458,1,1,1,1,1,Radio,115.25
78,Snack Foods,Snack Foods,Food,11.61,4.8762,3,Unbeatable Price Savers,USA,S,M,2,Bachelors Degree,Silver,Professional,N,2,$50K - $70K,0,2,Fast,3.87,21.7,18.7,1,0,15,Supermarket,Seattle,WA,21215,13305,4746,3164,1,0,0,0,0,Bulk Mail,66.78
79,Meat,Frozen Foods,Food,14.68,6.8996,4,Shelf Clearing Days,Mexico,S,F,2,Bachelors Degree,Bronze,Management,N,1,$50K - $70K,0,1,Big Time,3.67,7.87,5.86,0,1,33,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,Sunday Paper,98.81
80,Canned Soup,Canned Foods,Food,2.62,1.048,2,Money Savers,Mexico,S,M,4,High School Degree,Bronze,Skilled Manual,Y,2,$30K - $50K,0,2,Pleasant,1.31,20.2,19.2,1,0,36,Deluxe Supermarket,Merida,Yucatan,30797,20141,6393,4262,1,1,1,1,1,TV,65.7
81,Snack Foods,Snack Foods,Food,5.55,2.3865,3,Price Savers,USA,M,F,4,Partial College,Bronze,Professional,Y,4,$70K - $90K,0,4,Nationeel,1.85,10.4,7.39,1,1,18,Deluxe Supermarket,Tacoma,WA,33858,22123,7041,4694,1,0,1,1,1,"Sunday Paper, Radio",111.7
82,Snack Foods,Snack Foods,Food,11.34,5.103,3,Super Savers,Canada,M,M,2,Partial High School,Normal,Manual,Y,1,$10K - $30K,1,1,Horatio,3.78,10.5,8.5,0,0,28,Deluxe Supermarket,Vancouver,BC,23112,16418,4016,2678,1,1,1,1,1,Street Handout,144.54
83,Vegetables,Produce,Food,11.36,3.7488,4,Two Day Sale,Mexico,S,M,4,Partial High School,Normal,Manual,N,2,$10K - $30K,0,2,Hermanos,2.84,13.7,10.6,0,1,11,Mid-Size Grocery,Mexico City,DF,36509,22450,8435,5624,0,0,0,0,0,"Daily Paper, Radio, TV",97.34
84,Breakfast Foods,Frozen Foods,Food,7.74,2.6316,2,Best Savings,Mexico,M,M,5,Bachelors Degree,Golden,Professional,Y,3,$70K - $90K,4,3,Imagine,3.87,7.2,4.19,1,0,27,Small Grocery,Guadalajara,Jalisco,24597,15012,5751,3834,1,0,0,0,0,"Daily Paper, Radio",96.61
85,Vegetables,Produce,Food,2.79,1.2276,3,Super Wallet Savers,USA,S,M,1,Partial High School,Normal,Skilled Manual,Y,0,$10K - $30K,0,0,High Top,0.93,16.1,14.1,0,1,23,Supermarket,Bremerton,WA,39696,24390,9184,6122,0,0,1,1,0,"Daily Paper, Radio",109.14
86,Cleaning Supplies,Household,Non-Consumable,3.32,1.2284,4,High Roller Savings,USA,M,F,4,Partial High School,Normal,Skilled Manual,Y,1,$10K - $30K,4,1,Sunset,0.83,21,18,0,0,2,Supermarket,Los Angeles,CA,23598,14210,5633,3755,0,0,0,0,1,Daily Paper,101.84
